name,Name,SSN,Class,Category,Manufacturer,Model,Status,Substatus,Type
0Netadapter,0nameNetadapter,0Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
0Memory,0nameMemory,0Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
1Netadapter,1nameNetadapter,1Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
1Memory,1nameMemory,1Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
2Netadapter,2nameNetadapter,2Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
2Memory,2nameMemory,2Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
3Netadapter,3nameNetadapter,3Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
3Memory,3nameMemory,3Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
4Netadapter,4nameNetadapter,4Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
4Memory,4nameMemory,4Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
5Netadapter,5nameNetadapter,5Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
5Memory,5nameMemory,5Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
6Netadapter,6nameNetadapter,6Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
6Memory,6nameMemory,6Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
7Netadapter,7nameNetadapter,7Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
7Memory,7nameMemory,7Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
8Netadapter,8nameNetadapter,8Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
8Memory,8nameMemory,8Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
9Netadapter,9nameNetadapter,9Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
9Memory,9nameMemory,9Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
10Netadapter,10nameNetadapter,10Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
10Memory,10nameMemory,10Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
11Netadapter,11nameNetadapter,11Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
11Memory,11nameMemory,11Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
12Netadapter,12nameNetadapter,12Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
12Memory,12nameMemory,12Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
13Netadapter,13nameNetadapter,13Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
13Memory,13nameMemory,13Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
14Netadapter,14nameNetadapter,14Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
14Memory,14nameMemory,14Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
15Netadapter,15nameNetadapter,15Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
15Memory,15nameMemory,15Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
16Netadapter,16nameNetadapter,16Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
16Memory,16nameMemory,16Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
17Netadapter,17nameNetadapter,17Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
17Memory,17nameMemory,17Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
18Netadapter,18nameNetadapter,18Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
18Memory,18nameMemory,18Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
19Netadapter,19nameNetadapter,19Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
19Memory,19nameMemory,19Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
20Netadapter,20nameNetadapter,20Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
20Memory,20nameMemory,20Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
21Netadapter,21nameNetadapter,21Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
21Memory,21nameMemory,21Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
22Netadapter,22nameNetadapter,22Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
22Memory,22nameMemory,22Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
23Netadapter,23nameNetadapter,23Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
23Memory,23nameMemory,23Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
24Netadapter,24nameNetadapter,24Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
24Memory,24nameMemory,24Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
25Netadapter,25nameNetadapter,25Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
25Memory,25nameMemory,25Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
26Netadapter,26nameNetadapter,26Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
26Memory,26nameMemory,26Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
27Netadapter,27nameNetadapter,27Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
27Memory,27nameMemory,27Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
28Netadapter,28nameNetadapter,28Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
28Memory,28nameMemory,28Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
29Netadapter,29nameNetadapter,29Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
29Memory,29nameMemory,29Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
30Netadapter,30nameNetadapter,30Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
30Memory,30nameMemory,30Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
31Netadapter,31nameNetadapter,31Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
31Memory,31nameMemory,31Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
32Netadapter,32nameNetadapter,32Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
32Memory,32nameMemory,32Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
33Netadapter,33nameNetadapter,33Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
33Memory,33nameMemory,33Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
34Netadapter,34nameNetadapter,34Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
34Memory,34nameMemory,34Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
35Netadapter,35nameNetadapter,35Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
35Memory,35nameMemory,35Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
36Netadapter,36nameNetadapter,36Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
36Memory,36nameMemory,36Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
37Netadapter,37nameNetadapter,37Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
37Memory,37nameMemory,37Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
38Netadapter,38nameNetadapter,38Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
38Memory,38nameMemory,38Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
39Netadapter,39nameNetadapter,39Netadapter,Net Adapter-Lab,Net Adapter-Lab - vfg,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise
39Memory,39nameMemory,39Memory,Memory,Memory - vfg,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise
