Name,Serial number,Class,DNUSAN,Short description,Category,Subcategory,Manufacturer,Model,Status(hardware_status),Substatus,Type,Count,Program,Project,PO number,PO line number,Assigned to,Owned by,Managed by,Home Location,Location,Location Details,Created,Created by,Updated,Updgted by,Cost center,Comments,Finance Type,Hardware Support Group,Hardware Support Service,Lot Number,Etag
0nameNetadapter,0Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
1nameNetadapter,1Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
2nameNetadapter,2Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
3nameNetadapter,3Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
4nameNetadapter,4Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
5nameNetadapter,5Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
6nameNetadapter,6Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
7nameNetadapter,7Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
8nameNetadapter,8Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
9nameNetadapter,9Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
10nameNetadapter,10Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
11nameNetadapter,11Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
12nameNetadapter,12Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
13nameNetadapter,13Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
14nameNetadapter,14Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
15nameNetadapter,15Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
16nameNetadapter,16Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
